timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1673513827735,31840,HTTP Request,200,OK,W3 traffic 1-128,text,true,,119681,119,106,106,https://www.w3schools.com/,15280,0,2778
1673513829329,30270,HTTP Request,200,OK,W3 traffic 1-168,text,true,,119682,119,105,105,https://www.w3schools.com/,13158,0,7572
1673513829972,29682,HTTP Request,200,OK,W3 traffic 1-184,text,true,,119681,119,104,104,https://www.w3schools.com/,11822,0,4171
1673513824409,35299,HTTP Request,200,OK,W3 traffic 1-45,text,true,,119681,119,103,103,https://www.w3schools.com/,9266,0,3746
1673513824730,35290,HTTP Request,200,OK,W3 traffic 1-53,text,true,,119681,119,102,102,https://www.w3schools.com/,17434,0,3890
1673513827049,32982,HTTP Request,200,OK,W3 traffic 1-111,text,true,,119681,119,101,101,https://www.w3schools.com/,23475,0,15108
1673513828728,31441,HTTP Request,200,OK,W3 traffic 1-153,text,true,,119681,119,100,100,https://www.w3schools.com/,12047,0,5141
1673513824088,36271,HTTP Request,200,OK,W3 traffic 1-37,text,true,,119681,119,99,99,https://www.w3schools.com/,13582,0,3877
1673513829569,30792,HTTP Request,200,OK,W3 traffic 1-174,text,true,,119681,119,99,99,https://www.w3schools.com/,15699,0,10080
1673513830969,29482,HTTP Request,200,OK,W3 traffic 1-209,text,true,,119682,119,97,97,https://www.w3schools.com/,14456,0,7543
1673513826689,33822,HTTP Request,200,OK,W3 traffic 1-102,text,true,,119681,119,96,96,https://www.w3schools.com/,17755,0,8054
1673513831812,28723,HTTP Request,200,OK,W3 traffic 1-230,text,true,,119682,119,95,95,https://www.w3schools.com/,17853,0,6570
1673513826489,34125,HTTP Request,200,OK,W3 traffic 1-97,text,true,,119682,119,94,94,https://www.w3schools.com/,14950,0,7999
1673513827650,32965,HTTP Request,200,OK,W3 traffic 1-126,text,true,,119682,119,94,94,https://www.w3schools.com/,11120,0,2787
1673513830211,30410,HTTP Request,200,OK,W3 traffic 1-190,text,true,,119681,119,92,92,https://www.w3schools.com/,10767,0,5218
1673513831969,28652,HTTP Request,200,OK,W3 traffic 1-234,text,true,,119681,119,92,92,https://www.w3schools.com/,19044,0,6577
1673513831530,29099,HTTP Request,200,OK,W3 traffic 1-223,text,true,,119681,119,90,90,https://www.w3schools.com/,19451,0,6542
1673513825209,35474,HTTP Request,200,OK,W3 traffic 1-65,text,true,,119682,119,89,89,https://www.w3schools.com/,9401,0,2497
1673513832448,28335,HTTP Request,200,OK,W3 traffic 1-246,text,true,,119682,119,88,88,https://www.w3schools.com/,10470,0,4906
1673513826253,34563,HTTP Request,200,OK,W3 traffic 1-91,text,true,,119682,119,87,87,https://www.w3schools.com/,17504,0,5691
1673513829168,31665,HTTP Request,200,OK,W3 traffic 1-164,text,true,,119682,119,86,86,https://www.w3schools.com/,14528,0,4164
1673513824171,36776,HTTP Request,200,OK,W3 traffic 1-39,text,true,,119681,119,85,85,https://www.w3schools.com/,14156,0,5846
1673513828887,32130,HTTP Request,200,OK,W3 traffic 1-157,text,true,,119682,119,84,84,https://www.w3schools.com/,26847,0,15605
1673513824210,36861,HTTP Request,200,OK,W3 traffic 1-40,text,true,,119682,119,83,83,https://www.w3schools.com/,24562,0,16242
1673513831169,29906,HTTP Request,200,OK,W3 traffic 1-214,text,true,,119681,119,82,82,https://www.w3schools.com/,19295,0,3775
1673513825008,36166,HTTP Request,200,OK,W3 traffic 1-60,text,true,,119682,119,81,81,https://www.w3schools.com/,21295,0,4928
1673513829489,31750,HTTP Request,200,OK,W3 traffic 1-172,text,true,,119681,119,80,80,https://www.w3schools.com/,18305,0,2761
1673513831687,29590,HTTP Request,200,OK,W3 traffic 1-227,text,true,,119681,119,79,79,https://www.w3schools.com/,18945,0,9267
1673513830171,31238,HTTP Request,200,OK,W3 traffic 1-189,text,true,,119682,119,78,78,https://www.w3schools.com/,23423,0,7037
1673513830928,30544,HTTP Request,200,OK,W3 traffic 1-208,text,true,,119681,119,77,77,https://www.w3schools.com/,21128,0,14494
1673513832089,29496,HTTP Request,200,OK,W3 traffic 1-237,text,true,,119681,119,76,76,https://www.w3schools.com/,17571,0,10642
1673513824808,36786,HTTP Request,200,OK,W3 traffic 1-55,text,true,,119681,119,75,75,https://www.w3schools.com/,3902,0,2598
1673513832368,29303,HTTP Request,200,OK,W3 traffic 1-244,text,true,,119681,119,74,74,https://www.w3schools.com/,20097,0,8676
1673513830449,31283,HTTP Request,200,OK,W3 traffic 1-196,text,true,,119681,119,73,73,https://www.w3schools.com/,18036,0,2780
1673513824570,37282,HTTP Request,200,OK,W3 traffic 1-49,text,true,,119681,119,72,72,https://www.w3schools.com/,19187,0,3902
1673513831368,30697,HTTP Request,200,OK,W3 traffic 1-219,text,true,,119682,119,71,71,https://www.w3schools.com/,16117,0,9177
1673513829051,33017,HTTP Request,200,OK,W3 traffic 1-161,text,true,,119682,119,70,70,https://www.w3schools.com/,22582,0,15663
1673513832289,29847,HTTP Request,200,OK,W3 traffic 1-242,text,true,,119682,119,69,69,https://www.w3schools.com/,16861,0,7156
1673513825929,36223,HTTP Request,200,OK,W3 traffic 1-83,text,true,,119681,119,68,68,https://www.w3schools.com/,16921,0,5760
1673513829011,33257,HTTP Request,200,OK,W3 traffic 1-160,text,true,,119682,119,67,67,https://www.w3schools.com/,21642,0,4170
1673513828650,33767,HTTP Request,200,OK,W3 traffic 1-151,text,true,,119681,119,66,66,https://www.w3schools.com/,11073,0,2784
1673513826769,35697,HTTP Request,200,OK,W3 traffic 1-104,text,true,,119682,119,65,65,https://www.w3schools.com/,18693,0,3435
1673513828007,34619,HTTP Request,200,OK,W3 traffic 1-135,text,true,,119681,119,64,64,https://www.w3schools.com/,19196,0,8412
1673513830689,31950,HTTP Request,200,OK,W3 traffic 1-202,text,true,,119681,119,63,63,https://www.w3schools.com/,22124,0,4146
1673513829607,33080,HTTP Request,200,OK,W3 traffic 1-175,text,true,,119682,119,62,62,https://www.w3schools.com/,16863,0,7080
1673513831010,31754,HTTP Request,200,OK,W3 traffic 1-210,text,true,,119682,119,61,61,https://www.w3schools.com/,16563,0,8229
1673513827337,35486,HTTP Request,200,OK,W3 traffic 1-118,text,true,,119682,119,60,60,https://www.w3schools.com/,18101,0,2628
1673513831206,31650,HTTP Request,200,OK,W3 traffic 1-215,text,true,,119682,119,59,59,https://www.w3schools.com/,24816,0,7050
1673513824489,38403,HTTP Request,200,OK,W3 traffic 1-47,text,true,,119681,119,58,58,https://www.w3schools.com/,13143,0,4856
1673513829408,33539,
